Size,DataType,Algorithm,TimeMicroseconds
9200,AlmostSorted,QuickSort,867.200000
9200,AlmostSorted,HybridQuickSort,549.400000
9300,Random,QuickSort,1227.200000
9300,Random,HybridQuickSort,921.000000
9300,Reversed,QuickSort,888.600000
9300,Reversed,HybridQuickSort,605.200000
9300,AlmostSorted,QuickSort,919.600000
9300,AlmostSorted,HybridQuickSort,535.000000
9400,Random,QuickSort,1314.200000
9400,Random,HybridQuickSort,959.600000
9400,Reversed,QuickSort,952.800000
9400,Reversed,HybridQuickSort,570.600000
9400,AlmostSorted,QuickSort,974.600000
9400,AlmostSorted,HybridQuickSort,551.200000
9500,Random,QuickSort,1314.200000
9500,Random,HybridQuickSort,979.600000
9500,Reversed,QuickSort,937.000000
9500,Reversed,HybridQuickSort,618.400000
9500,AlmostSorted,QuickSort,926.000000
9500,AlmostSorted,HybridQuickSort,537.000000
9600,Random,QuickSort,1316.000000
9600,Random,HybridQuickSort,945.600000
9600,Reversed,QuickSort,926.200000
9600,Reversed,HybridQuickSort,594.600000
9600,AlmostSorted,QuickSort,911.600000
9600,AlmostSorted,HybridQuickSort,523.800000
9700,Random,QuickSort,1292.000000
9700,Random,HybridQuickSort,947.200000
9700,Reversed,QuickSort,929.800000
9700,Reversed,HybridQuickSort,597.400000
9700,AlmostSorted,QuickSort,939.800000
9700,AlmostSorted,HybridQuickSort,579.200000
9800,Random,QuickSort,1323.600000
9800,Random,HybridQuickSort,976.200000
9800,Reversed,QuickSort,955.600000
9800,Reversed,HybridQuickSort,618.200000
9800,AlmostSorted,QuickSort,946.600000
9800,AlmostSorted,HybridQuickSort,551.200000
9900,Random,QuickSort,1342.200000
9900,Random,HybridQuickSort,1007.200000
9900,Reversed,QuickSort,964.400000
9900,Reversed,HybridQuickSort,648.400000
9900,AlmostSorted,QuickSort,963.600000
9900,AlmostSorted,HybridQuickSort,629.200000
10000,Random,QuickSort,1358.200000
10000,Random,HybridQuickSort,1007.800000
10000,Reversed,QuickSort,968.200000
10000,Reversed,HybridQuickSort,609.000000
10000,AlmostSorted,QuickSort,982.200000
10000,AlmostSorted,HybridQuickSort,556.800000
10100,Random,QuickSort,1421.800000
10100,Random,HybridQuickSort,1049.600000
10100,Reversed,QuickSort,1025.600000
10100,Reversed,HybridQuickSort,653.400000
10100,AlmostSorted,QuickSort,1015.000000
10100,AlmostSorted,HybridQuickSort,548.800000
10200,Random,QuickSort,1399.200000
10200,Random,HybridQuickSort,1064.400000
10200,Reversed,QuickSort,1009.200000
10200,Reversed,HybridQuickSort,673.400000
10200,AlmostSorted,QuickSort,1000.600000
10200,AlmostSorted,HybridQuickSort,607.000000
10300,Random,QuickSort,1460.400000
10300,Random,HybridQuickSort,1079.000000
10300,Reversed,QuickSort,999.200000
10300,Reversed,HybridQuickSort,640.000000
10300,AlmostSorted,QuickSort,1022.400000
10300,AlmostSorted,HybridQuickSort,598.200000
10400,Random,QuickSort,1400.800000
10400,Random,HybridQuickSort,1066.800000
10400,Reversed,QuickSort,1043.600000
10400,Reversed,HybridQuickSort,646.400000
